_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
288801246522832593,577602496345490176,133.78195701408768,1.5418558693942337,44.94399530668833,-1045.8758431663468,9.289488,10.186295,8.353907,True,True,True,True,False,True,True,True,True,True,True,True,True
323038482736071955,646076953786745472,142.2909780253123,25.96804319708952,-1048.2211262241522,-270.1442784993809,14.390027,16.650572,13.021128,True,True,True,True,False,True,True,True,True,True,True,False,False
336045691208799424,672091364541849344,117.07514854485704,20.363715703599137,1450.0374715502585,-992.054978382924,10.552906,11.670434,9.500179,True,True,True,True,False,True,True,True,True,True,True,False,False
347036443276318392,694072869723271296,140.09582755499903,26.726194273557688,896.2917934254615,-544.9851333622704,14.077404,15.866566,12.811077,True,True,True,True,False,True,True,True,True,True,True,False,False
351895023044808785,703790044252850688,127.45009240230564,26.77328596508202,-1113.693546784546,-612.1910728285187,12.167455,15.10305,10.705456,True,True,True,True,False,True,True,True,True,True,True,False,True
366204393974270385,732408781822492416,167.53019381019558,28.94528796938356,-916.90498369548,-488.88666742535474,12.24467,13.49841,11.1283045,True,True,True,True,False,True,True,True,True,True,True,False,False
367726640379378559,735453264711448064,159.36609667555115,30.1837828466482,-819.7595455332843,-572.9674193375299,15.429239,18.17678,13.999944,True,True,True,True,False,True,True,True,True,True,True,False,False
373286275235045328,746572522723948672,150.17922735094697,32.306412085664775,-1007.8375164733952,-666.0235879113916,11.071167,12.091589,10.065592,True,True,True,True,False,True,True,True,True,True,True,False,False
375293110402462839,750586216906847104,162.43628733718958,35.542869572300205,-700.8643323815055,-1048.6687776057422,11.625256,13.289557,10.323491,True,True,True,True,False,False,True,True,True,True,True,False,False
375987843424443303,751975660302006784,160.3996414218253,37.60928436965462,-1457.0658998592355,-358.6584524049666,11.5485115,13.270451,10.286341,True,True,True,True,False,False,True,True,True,True,True,False,False
376765265548206524,753530507182796288,152.316379579128,35.24280998770353,-716.943697481534,-1130.080762749444,14.298148,16.006334,13.047015,True,True,True,True,False,False,True,True,True,True,True,False,False
381407739701909405,762815470562110464,165.83095967577933,35.948653032660104,-580.0570872139048,-4776.588719443488,6.551172,7.6911216,5.475513,True,True,True,True,False,False,True,True,True,True,True,False,False
386127585689340035,772255155844015104,173.19072624424695,43.99021771973847,295.1291072164961,-1108.5170200653142,14.468245,15.439222,13.493309,True,True,True,True,False,False,True,True,True,True,False,False,False
388697523101153484,777395029106166272,165.5724057653441,41.21475183199036,-102.23386874488456,-1754.836078308393,18.742693,19.515816,17.873062,True,True,True,True,False,False,True,True,True,True,False,False,False
389473817528141237,778947608243864320,166.35208967877313,43.52590762036144,-4339.849578444107,960.6961306272716,12.257253,14.709731,10.854758,True,True,True,True,False,False,True,True,True,True,False,False,False
389473915338871281,778947814402602752,166.34205974427476,43.53094856108456,-4406.469178827325,938.5266266886064,7.912665,8.982041,6.8778634,True,True,True,True,False,False,True,True,True,True,False,False,False
393417160235137306,786834302080370304,177.7301638123558,48.373099796519554,-1545.068861103579,-962.7239331057074,11.684706,13.529427,10.387384,True,True,True,True,False,False,True,True,True,True,False,False,False
395624837461425906,791249665893533568,176.6403621058946,50.87943751803044,-868.720177402879,-544.1035272861652,9.731954,10.039251,9.244091,True,True,True,True,False,False,True,True,True,True,False,False,False
411614358608156268,823228721067307392,150.5864197189471,48.082246734912346,-633.0735512966033,-1474.8270957318089,9.273227,10.287552,8.262333,True,True,True,True,False,False,True,True,True,True,False,False,False
411886760481611001,823773494718931968,152.8329289582321,49.451988897100506,-1363.2871863986295,-505.7703588749188,5.9611735,6.788394,5.066091,True,True,True,True,False,False,True,True,True,True,False,False,False
427680531512670142,855361055035055104,161.48878587034008,59.0744211030482,-1019.3109052527138,-1462.4876601743915,17.639692,17.732128,17.44493,True,True,True,True,False,False,True,True,True,True,False,False,False
432826993589273152,865653961340899584,113.4747998544078,22.389920610770503,937.2840919049194,-598.122404739869,14.710612,16.616068,13.411319,True,True,True,True,False,True,True,True,True,True,True,False,False
434799139273390102,869598317570008448,109.11996374070203,23.700343739721696,935.9282950909992,-577.0853392479524,14.529578,15.753252,13.432622,True,True,True,True,False,True,True,True,True,True,True,False,False
438185046624236527,876370076542359936,120.13300863259106,29.207176720378527,-169.91821057753526,-1164.9323987340836,6.7788324,7.154813,6.2237077,True,True,True,True,False,True,True,True,True,True,True,False,False
440247745352668562,880495478530513920,118.39165275381612,30.59691391215582,706.6709901290797,-1835.3940444413208,8.093727,8.431073,7.570237,True,True,True,True,False,True,True,True,True,True,True,False,False
452863516337307613,905727002643849472,120.7727484472709,34.941865463403005,-508.3528248553888,-1502.1163184935417,14.641529,16.558186,13.342749,True,True,True,True,False,False,True,True,True,True,True,False,False
465411006967832544,930822015518055808,127.52714090400372,48.47642773218372,-1016.5645274560766,-774.9716240834562,20.710526,21.585167,19.04894,True,True,True,True,False,False,True,True,True,True,False,False,False
470731072768445570,941462126980542336,99.49323817776184,34.49980841100223,211.3171389134424,-1246.6851008545584,13.706062,15.04507,12.56296,True,True,True,True,False,False,True,True,True,True,True,False,False
471844109969805118,943688191349024000,102.27388493599808,37.106957855887565,206.38824354450276,-1589.982509560002,12.464527,14.090804,11.228796,True,True,True,True,False,False,True,True,True,True,False,False,False
473316469245545212,946632924007399936,107.50514340448905,38.52526941964586,-439.4204467281696,-944.7934896029224,9.934659,11.747847,8.641891,True,True,True,True,False,False,True,True,True,True,False,False,False
487984358400428221,975968718869126144,112.67690130725812,48.19395397764997,-201.28231349716827,-1272.162430366848,12.11649,13.821537,10.863543,True,True,True,True,False,False,True,True,True,True,False,False,False
490774317678064249,981548637301374336,105.98716288465668,52.69772729783498,675.7749453514461,-921.8797769662092,11.699139,13.597982,10.3876915,True,True,True,True,False,False,True,True,True,True,False,False,False
501876307870483021,1003752587430126464,103.52263282869002,60.867337762118105,483.2063214560512,-980.5301830675568,10.003271,11.215596,8.681267,True,True,True,True,False,False,True,True,True,True,False,False,False
507785495891022161,1015570963037979264,135.2152883154428,48.418919989426016,-254.2494522286468,-1038.9090299259833,12.89207,14.399192,11.696575,True,True,True,True,False,False,True,True,True,True,False,False,False
509388102312697727,1018776176872261248,143.20753978122536,51.67490604097004,-942.5671400184004,-542.0162846102697,3.0717425,3.5151834,2.686608,True,True,True,True,False,False,True,True,True,True,False,False,False
511228075304588698,1022456139210632064,138.5835616152243,52.68408016691263,-1545.7874520604669,-569.052823523412,6.976026,7.8634076,6.046104,True,True,True,True,False,False,True,True,True,True,False,False,False
511228084924256910,1022456104850892928,138.5913117966687,52.68342944184038,-1573.0402244550992,-659.9060008123529,7.054455,7.9594064,6.1129565,True,True,True,True,False,False,True,True,True,True,False,False,False
511390430443909271,1022780838739029120,138.97555324978268,53.41831058432857,-1086.3884251564093,-1121.2811854569422,13.782189,13.928776,13.513198,True,True,True,True,False,False,True,True,True,True,False,False,False
519097603094607205,1038195201485531776,139.44184149237842,58.41741940222413,26.210380641971085,-1170.9324218571903,13.494663,15.466398,12.185511,True,True,True,True,False,False,True,True,True,True,False,False,False
520413542689542036,1040827088726734976,130.331590389547,59.49165865053633,-260.27618577042017,-1279.5622335452344,13.082282,15.383262,11.712082,True,True,True,True,False,False,True,True,True,True,False,False,False
523594013925659505,1047188004010109440,155.69404379107607,58.426001218083066,-810.1479268676051,-736.8254533705203,18.264547,21.144558,16.714872,True,True,True,True,False,False,True,True,True,True,False,False,False
